,Digit,,,,,,,,,
Pair Index,0,1,2,3,4,5,6,7,8,9
1,,,,,2,,,2,1,
2,,,,,4,,,1,1,
3,,,,,6,,,2,4,
4,,,,,5,,,1,2,
5,,,,,1,,,5,1,
6,,,,,3,,,9,3,
7,,,,,3,,,6,2,
8,,,,,3,,,2,1,
9,,,,,1,,,5,1,
10,,,,,1,,,2,2,
11,,,,,1,,,4,2,
12,,,,,2,,,6,3,
13,,,,,1,,,8,1,
14,,,,,1,,,1,1,
15,,,,,1,,,1,2,
16,,,,,2,,,1,1,
17,,,,,5,,,3,5,
18,,,,,2,,,9,1,
19,,,,,1,,,1,1,
20,,,,,3,,,3,1,
21,,,,,2,,,1,2,
22,,,,,1,,,2,1,
23,,,,,2,,,6,1,
24,,,,,4,,,2,2,
25,,,,,2,,,5,3,
26,,,,,3,,,2,1,
27,,,,,3,,,1,1,
28,,,,,2,,,1,2,
29,,,,,1,,,2,1,
30,,,,,2,,,3,5,