batch_size,layers,dropout_rate,n_filters,filter_size,fc_units,epoch,train_time,test_loss,accuracy
100,1,0.2,10,5,50,5,0 days 00:02:05.992056000,0.11152771551012992,0.967
100,1,0.2,10,5,50,10,0 days 00:06:25.373995000,0.05182994064688683,0.98445
100,1,0.2,10,5,50,15,0 days 00:12:51.666252000,0.03613278897404671,0.9893
100,1,0.2,10,5,100,5,0 days 00:02:05.922986000,0.10616900170445442,0.9695
100,1,0.2,10,5,100,10,0 days 00:06:20.827385000,0.05001516727209091,0.98545
100,1,0.2,10,5,100,15,0 days 00:12:48.673449000,0.03253963649272919,0.9903
100,1,0.2,16,5,50,5,0 days 00:02:05.554946000,0.11809860357046127,0.965025
100,1,0.2,16,5,50,10,0 days 00:06:24.552278000,0.05147449763417244,0.984525
100,1,0.2,16,5,50,15,0 days 00:12:49.828400000,0.03325027249455452,0.990175
100,1,0.2,16,5,100,5,0 days 00:02:08.616575000,0.1010366412639618,0.97075
100,1,0.2,16,5,100,10,0 days 00:06:28.439781000,0.048539085829257964,0.9856
100,1,0.2,16,5,100,15,0 days 00:12:59.552775000,0.03353473420143127,0.9896
100,1,0.5,10,5,50,5,0 days 00:02:06.475673000,0.1339512494802475,0.959775
100,1,0.5,10,5,50,10,0 days 00:06:30.579956000,0.06395751434564591,0.9812
100,1,0.5,10,5,50,15,0 days 00:13:00.028870000,0.042850310575962065,0.98715
100,1,0.5,10,5,100,5,0 days 00:02:03.779714000,0.12051446762681008,0.96495
100,1,0.5,10,5,100,10,0 days 00:06:24.772663000,0.05746502539515495,0.98295
100,1,0.5,10,5,100,15,0 days 00:12:49.730153000,0.03596333495974541,0.989375
100,1,0.5,16,5,50,5,0 days 00:02:03.868444000,0.12093137002587319,0.963725
100,1,0.5,16,5,50,10,0 days 00:06:20.431367000,0.05465751022696495,0.98305
100,1,0.5,16,5,50,15,0 days 00:12:41.980282000,0.0377274271607399,0.98825
100,1,0.5,16,5,100,5,0 days 00:02:03.594705000,0.11642579641342163,0.965475
100,1,0.5,16,5,100,10,0 days 00:06:20.638831000,0.05093615632653237,0.9849
100,1,0.5,16,5,100,15,0 days 00:12:42.285873000,0.032236705261468886,0.99005
100,1,0.75,10,5,50,5,0 days 00:02:03.045819000,0.19283187764883042,0.944575
100,1,0.75,10,5,50,10,0 days 00:06:20.194948000,0.07754961041212081,0.97655
100,1,0.75,10,5,50,15,0 days 00:12:40.504309000,0.05354716277718544,0.983375
100,1,0.75,10,5,100,5,0 days 00:02:02.121999000,0.14794662410020828,0.956575
100,1,0.75,10,5,100,10,0 days 00:06:16.907098000,0.07018438920974732,0.979175
100,1,0.75,10,5,100,15,0 days 00:12:36.392379000,0.04591366134285927,0.986175
100,1,0.75,16,5,50,5,0 days 00:02:03.776544000,0.1627758020043373,0.954975
100,1,0.75,16,5,50,10,0 days 00:06:21.931477000,0.06714236027002335,0.98055
100,1,0.75,16,5,50,15,0 days 00:12:46.420477000,0.04752305604219437,0.98625
100,1,0.75,16,5,100,5,0 days 00:02:04.731605000,0.14050015877485275,0.95825
100,1,0.75,16,5,100,10,0 days 00:06:17.928099000,0.06328541467189788,0.98145
100,1,0.75,16,5,100,15,0 days 00:12:40.659287000,0.04123062124848366,0.987725
100,2,0.2,10,5,50,5,0 days 00:02:02.901640000,0.08438724277615547,0.974975
100,2,0.2,10,5,50,10,0 days 00:06:18.589014000,0.03923288688659668,0.9875
100,2,0.2,10,5,50,15,0 days 00:12:40.604203000,0.027679404193162917,0.991525
100,2,0.2,10,5,100,5,0 days 00:02:04.609763000,0.08446198795437813,0.97395
100,2,0.2,10,5,100,10,0 days 00:06:17.530117000,0.042930639719963075,0.986525
100,2,0.2,10,5,100,15,0 days 00:12:39.940715000,0.029465536391735075,0.99065
100,2,0.2,16,5,50,5,0 days 00:02:03.405398000,0.07407013709545135,0.97735
100,2,0.2,16,5,50,10,0 days 00:06:18.766980000,0.0382734667301178,0.988275
100,2,0.2,16,5,50,15,0 days 00:12:42.133719000,0.02724303795993328,0.991825
100,2,0.2,16,5,100,5,0 days 00:02:04.342947000,0.08325466726422309,0.97495
100,2,0.2,16,5,100,10,0 days 00:06:19.513324000,0.03924945057630539,0.98735
100,2,0.2,16,5,100,15,0 days 00:12:43.050437000,0.026466309627890587,0.991425
100,2,0.5,10,5,50,5,0 days 00:02:03.903972000,0.08727346488237381,0.972725
100,2,0.5,10,5,50,10,0 days 00:06:18.584534000,0.046725234287977216,0.985975
100,2,0.5,10,5,50,15,0 days 00:12:44.727399000,0.03318431247770786,0.989375
100,2,0.5,10,5,100,5,0 days 00:02:04.502013000,0.08758316432833671,0.97335
100,2,0.5,10,5,100,10,0 days 00:06:23.350941000,0.04451357157230377,0.98625
100,2,0.5,10,5,100,15,0 days 00:12:48.173097000,0.031508969485759736,0.99
100,2,0.5,16,5,50,5,0 days 00:02:04.868273000,0.08070823292136192,0.97615
100,2,0.5,16,5,50,10,0 days 00:06:19.296683000,0.043348077112436295,0.987025
100,2,0.5,16,5,50,15,0 days 00:12:42.760891000,0.032031202632188796,0.9904
100,2,0.5,16,5,100,5,0 days 00:02:03.987710000,0.07898809887766838,0.975875
100,2,0.5,16,5,100,10,0 days 00:06:20.333376000,0.0398826185464859,0.987925
100,2,0.5,16,5,100,15,0 days 00:12:42.342177000,0.028193610227108003,0.99135
100,2,0.75,10,5,50,5,0 days 00:02:05.781476000,0.09764572364091874,0.972725
100,2,0.75,10,5,50,10,0 days 00:06:21.682992000,0.053414751264452935,0.9844
100,2,0.75,10,5,50,15,0 days 00:12:45.991752000,0.039477530205249786,0.98825
100,2,0.75,10,5,100,5,0 days 00:02:06.263630000,0.09541237030625344,0.97125
100,2,0.75,10,5,100,10,0 days 00:06:24.019228000,0.048256427848339084,0.985125
100,2,0.75,10,5,100,15,0 days 00:12:45.949471000,0.03550605503320694,0.989375
100,2,0.75,16,5,50,5,0 days 00:02:02.452755000,0.1068692455649376,0.9709
100,2,0.75,16,5,50,10,0 days 00:06:17.290306000,0.04901053522229195,0.984825
100,2,0.75,16,5,50,15,0 days 00:12:39.895129000,0.03530397873520851,0.98965
100,2,0.75,16,5,100,5,0 days 00:02:03.696327000,0.0804890036046505,0.975725
100,2,0.75,16,5,100,10,0 days 00:06:17.484926000,0.042005011034011844,0.987325
100,2,0.75,16,5,100,15,0 days 00:12:40.161121000,0.03070955383479595,0.991025
100,3,0.2,10,5,50,5,0 days 00:02:05.170181000,0.08811562878489494,0.972725
100,3,0.2,10,5,50,10,0 days 00:06:23.737889000,0.04659194328784943,0.985075
100,3,0.2,10,5,50,15,0 days 00:12:47.158006000,0.03245914191305637,0.990075
100,3,0.2,10,5,100,5,0 days 00:02:03.410170000,0.07690878093242645,0.9757
100,3,0.2,10,5,100,10,0 days 00:06:20.901939000,0.038803255486488344,0.987625
100,3,0.2,10,5,100,15,0 days 00:12:41.857673000,0.029719850486516954,0.990375
100,3,0.2,16,5,50,5,0 days 00:02:05.861426000,0.07056295383572578,0.977925
100,3,0.2,16,5,50,10,0 days 00:06:24.107093000,0.03750165745615959,0.988525
100,3,0.2,16,5,50,15,0 days 00:12:47.853331000,0.027311920815706252,0.99185
100,3,0.2,16,5,100,5,0 days 00:02:05.065325000,0.07171507584750653,0.978075
100,3,0.2,16,5,100,10,0 days 00:06:24.547565000,0.0377421422958374,0.987775
100,3,0.2,16,5,100,15,0 days 00:12:51.442663000,0.028458756959438326,0.990625
100,3,0.5,10,5,50,5,0 days 00:02:04.019732000,0.09411113224029541,0.9714
100,3,0.5,10,5,50,10,0 days 00:06:23.029860000,0.04849856538772583,0.985325
100,3,0.5,10,5,50,15,0 days 00:12:47.430064000,0.03294221485853195,0.990475
100,3,0.5,10,5,100,5,0 days 00:02:03.920767000,0.08152231065034866,0.974725
100,3,0.5,10,5,100,10,0 days 00:06:19.162554000,0.04117810162901878,0.9866
100,3,0.5,10,5,100,15,0 days 00:12:43.988760000,0.029895743376016616,0.990675
100,3,0.5,16,5,50,5,0 days 00:02:05.498733000,0.07422479012608528,0.97625
100,3,0.5,16,5,50,10,0 days 00:06:22.766790000,0.038947623604536054,0.988625
100,3,0.5,16,5,50,15,0 days 00:12:54.235593000,0.03004752177596092,0.9915
100,3,0.5,16,5,100,5,0 days 00:02:04.341145000,0.08166388969421387,0.9749
100,3,0.5,16,5,100,10,0 days 00:06:20.920067000,0.039282660681009295,0.98705
100,3,0.5,16,5,100,15,0 days 00:12:49.185412000,0.027082097512483597,0.9911
100,3,0.75,10,5,50,5,0 days 00:02:02.920886000,0.09368790975809098,0.971675
100,3,0.75,10,5,50,10,0 days 00:06:20.990851000,0.04665353667736054,0.9868
100,3,0.75,10,5,50,15,0 days 00:12:44.706454000,0.03381325401365757,0.991275
100,3,0.75,10,5,100,5,0 days 00:02:05.144678000,0.08921851216554642,0.97185
100,3,0.75,10,5,100,10,0 days 00:06:18.585960000,0.046208736616373064,0.985775
100,3,0.75,10,5,100,15,0 days 00:12:39.164005000,0.0317755650728941,0.99095
100,3,0.75,16,5,50,5,0 days 00:02:03.987454000,0.09487534448504448,0.971275
100,3,0.75,16,5,50,10,0 days 00:06:21.666661000,0.04826812624335289,0.98555
100,3,0.75,16,5,50,15,0 days 00:12:49.063881000,0.034515751668810844,0.99065
100,3,0.75,16,5,100,5,0 days 00:02:04.964674000,0.07802887893915177,0.9757
100,3,0.75,16,5,100,10,0 days 00:06:23.892738000,0.042566746068000795,0.987375
100,3,0.75,16,5,100,15,0 days 00:12:49.761123000,0.030875607565045357,0.99135
100,4,0.2,10,5,50,5,0 days 00:02:03.733651000,0.10137788748145103,0.96845
100,4,0.2,10,5,50,10,0 days 00:06:19.959521000,0.04589673054218292,0.9856
100,4,0.2,10,5,50,15,0 days 00:12:42.989368000,0.03297733432650566,0.9898
100,4,0.2,10,5,100,5,0 days 00:02:05.013778000,0.1138158393740654,0.9647
100,4,0.2,10,5,100,10,0 days 00:06:21.713941000,0.04353569441735745,0.986
100,4,0.2,10,5,100,15,0 days 00:12:48.528089000,0.029237520909309388,0.990875
100,4,0.2,16,5,50,5,0 days 00:02:10.728208000,0.08633890784382821,0.973475
100,4,0.2,16,5,50,10,0 days 00:06:44.166214000,0.03899798090457916,0.9879
100,4,0.2,16,5,50,15,0 days 00:13:32.431464000,0.030750726640224456,0.9906
100,4,0.2,16,5,100,5,0 days 00:02:11.548552000,0.0922312078654766,0.9714
100,4,0.2,16,5,100,10,0 days 00:06:44.470166000,0.03769161521196365,0.9882
100,4,0.2,16,5,100,15,0 days 00:13:31.713766000,0.026011360847949982,0.9924
100,4,0.5,10,5,50,5,0 days 00:02:03.564507000,0.11132583015561104,0.96625
100,4,0.5,10,5,50,10,0 days 00:06:21.228492000,0.046937885388731955,0.9859
100,4,0.5,10,5,50,15,0 days 00:12:50.291048000,0.033413731893897056,0.989975
100,4,0.5,10,5,100,5,0 days 00:02:05.157867000,0.09346590055823326,0.970725
100,4,0.5,10,5,100,10,0 days 00:06:20.364734000,0.03919947150349617,0.98765
100,4,0.5,10,5,100,15,0 days 00:12:43.493407000,0.02727522243857384,0.991475
100,4,0.5,16,5,50,5,0 days 00:02:11.114582000,0.08710678493380547,0.9729
100,4,0.5,16,5,50,10,0 days 00:06:41.018071000,0.037953903821110725,0.989225
100,4,0.5,16,5,50,15,0 days 00:13:27.751022000,0.028355833292007446,0.992225
100,4,0.5,16,5,100,5,0 days 00:02:13.851395000,0.08555002775788308,0.973175
100,4,0.5,16,5,100,10,0 days 00:06:47.218028000,0.04073238976597786,0.9871
100,4,0.5,16,5,100,15,0 days 00:13:35.517078000,0.02898160484135151,0.9916
100,4,0.75,10,5,50,5,0 days 00:02:04.913196000,0.14197822977304458,0.959425
100,4,0.75,10,5,50,10,0 days 00:06:22.533670000,0.05258035959005356,0.98465
100,4,0.75,10,5,50,15,0 days 00:12:49.114651000,0.03933451122641563,0.9905
100,4,0.75,10,5,100,5,0 days 00:02:05.516334000,0.1210753389120102,0.96295
100,4,0.75,10,5,100,10,0 days 00:06:22.487625000,0.046332308438420296,0.986875
100,4,0.75,10,5,100,15,0 days 00:12:48.083650000,0.030375455987453462,0.991525
100,4,0.75,16,5,50,5,0 days 00:02:10.849440000,0.10306248717904092,0.9699
100,4,0.75,16,5,50,10,0 days 00:06:42.040608000,0.04868119017481804,0.986075
100,4,0.75,16,5,50,15,0 days 00:13:30.537047000,0.039856544667482376,0.99015
100,4,0.75,16,5,100,5,0 days 00:02:13.432320000,0.11750316681861878,0.96255
100,4,0.75,16,5,100,10,0 days 00:06:44.555976000,0.04523376903235912,0.98665
100,4,0.75,16,5,100,15,0 days 00:13:31.917985000,0.03380431164503098,0.99105
200,1,0.2,10,5,50,5,0 days 00:01:55.669887000,0.17167986967563628,0.950425
200,1,0.2,10,5,50,10,0 days 00:05:51.187164000,0.09601435045003891,0.971475
200,1,0.2,10,5,50,15,0 days 00:11:47.728914000,0.059311169493198396,0.981925
200,1,0.2,10,5,100,5,0 days 00:01:54.542456000,0.151089701795578,0.9555
200,1,0.2,10,5,100,10,0 days 00:05:51.134220000,0.07664128413200379,0.977775
200,1,0.2,10,5,100,15,0 days 00:11:42.507250000,0.046464533042907714,0.9857
200,1,0.2,16,5,50,5,0 days 00:01:54.586032000,0.1667039122581482,0.952175
200,1,0.2,16,5,50,10,0 days 00:05:50.572400000,0.08383788647651673,0.975625
200,1,0.2,16,5,50,15,0 days 00:11:45.883607000,0.04854502340555191,0.98605
200,1,0.2,16,5,100,5,0 days 00:01:54.737651000,0.16497210812568663,0.951425
200,1,0.2,16,5,100,10,0 days 00:05:52.895112000,0.08673719574213028,0.97425
200,1,0.2,16,5,100,15,0 days 00:11:47.382723000,0.053340985292196275,0.9839
200,1,0.5,10,5,50,5,0 days 00:01:54.544867000,0.19367737994194031,0.942325
200,1,0.5,10,5,50,10,0 days 00:05:53.202650000,0.11152018373012543,0.966775
200,1,0.5,10,5,50,15,0 days 00:11:47.869660000,0.0628175742328167,0.981425
200,1,0.5,10,5,100,5,0 days 00:01:55.068919000,0.171329629611969,0.949575
200,1,0.5,10,5,100,10,0 days 00:05:49.525611000,0.09553930945396423,0.971925
200,1,0.5,10,5,100,15,0 days 00:11:45.617660000,0.055334456872940065,0.9833
200,1,0.5,16,5,50,5,0 days 00:01:55.096908000,0.1873644959449768,0.944775
200,1,0.5,16,5,50,10,0 days 00:05:52.085498000,0.10442738796472549,0.96925
200,1,0.5,16,5,50,15,0 days 00:11:44.863970000,0.05665699951648712,0.9835
200,1,0.5,16,5,100,5,0 days 00:01:55.372599000,0.17347940139770507,0.949175
200,1,0.5,16,5,100,10,0 days 00:05:51.521346000,0.10036489630937576,0.9704
200,1,0.5,16,5,100,15,0 days 00:11:48.093479000,0.059420469295978544,0.9822
200,1,0.75,10,5,50,5,0 days 00:01:53.839597000,0.213968363571167,0.94275
200,1,0.75,10,5,50,10,0 days 00:05:49.132720000,0.10156224426031113,0.971725
200,1,0.75,10,5,50,15,0 days 00:11:43.393484000,0.06544002521038056,0.98025
200,1,0.75,10,5,100,5,0 days 00:01:54.649613000,0.2043366789340973,0.9407
200,1,0.75,10,5,100,10,0 days 00:05:51.187184000,0.12329999191761017,0.963375
200,1,0.75,10,5,100,15,0 days 00:11:44.888476000,0.06588441784381867,0.98065
200,1,0.75,16,5,50,5,0 days 00:01:54.632877000,0.190440891456604,0.949125
200,1,0.75,16,5,50,10,0 days 00:05:52.382528000,0.08687823815345765,0.975825
200,1,0.75,16,5,50,15,0 days 00:11:49.616556000,0.05827129943370819,0.9831
200,1,0.75,16,5,100,5,0 days 00:01:55.717606000,0.18619113085269928,0.9464
200,1,0.75,16,5,100,10,0 days 00:05:49.786196000,0.09415741962194443,0.972975
200,1,0.75,16,5,100,15,0 days 00:11:45.201902000,0.05359872776865959,0.9842
200,2,0.2,10,5,50,5,0 days 00:01:54.154169000,0.13191921167373657,0.9608
200,2,0.2,10,5,50,10,0 days 00:05:51.232168000,0.06297504230737686,0.980825
200,2,0.2,10,5,50,15,0 days 00:11:47.574905000,0.04134669246673584,0.987
200,2,0.2,10,5,100,5,0 days 00:01:53.967203000,0.12014429156780243,0.96425
200,2,0.2,10,5,100,10,0 days 00:05:49.811893000,0.058038908672332766,0.982275
200,2,0.2,10,5,100,15,0 days 00:11:43.176344000,0.03853200789690018,0.98795
200,2,0.2,16,5,50,5,0 days 00:01:55.173226000,0.11766789605617523,0.96495
200,2,0.2,16,5,50,10,0 days 00:05:51.294202000,0.05588337417840958,0.9826
200,2,0.2,16,5,50,15,0 days 00:11:45.242145000,0.03727264801263809,0.9888
200,2,0.2,16,5,100,5,0 days 00:01:54.419105000,0.11628521761894225,0.964975
200,2,0.2,16,5,100,10,0 days 00:05:49.003585000,0.056950071692466735,0.982525
200,2,0.2,16,5,100,15,0 days 00:11:41.902816000,0.037312219989299775,0.988125
200,2,0.5,10,5,50,5,0 days 00:01:55.467377000,0.15412433862686156,0.95395
200,2,0.5,10,5,50,10,0 days 00:05:51.882413000,0.07295626071691513,0.9779
200,2,0.5,10,5,50,15,0 days 00:11:45.956063000,0.048865780061483385,0.985375
200,2,0.5,10,5,100,5,0 days 00:01:53.939976000,0.13076639432907106,0.9609
200,2,0.5,10,5,100,10,0 days 00:05:49.972978000,0.0647255536198616,0.979975
200,2,0.5,10,5,100,15,0 days 00:11:44.490109000,0.04252367519140243,0.986825
200,2,0.5,16,5,50,5,0 days 00:01:55.493610000,0.13307570705413818,0.960375
200,2,0.5,16,5,50,10,0 days 00:05:53.162286000,0.06611049597263337,0.980275
200,2,0.5,16,5,50,15,0 days 00:11:49.021750000,0.043573366928100585,0.98605
200,2,0.5,16,5,100,5,0 days 00:01:53.101725000,0.1327695798635483,0.959325
200,2,0.5,16,5,100,10,0 days 00:05:47.681216000,0.06113738105893135,0.980875
200,2,0.5,16,5,100,15,0 days 00:11:43.203662000,0.03920917026996613,0.9876
200,2,0.75,10,5,50,5,0 days 00:01:55.564169000,0.17229477047920227,0.95235
200,2,0.75,10,5,50,10,0 days 00:05:53.326545000,0.07846477956771851,0.976
200,2,0.75,10,5,50,15,0 days 00:11:45.540179000,0.054763871276378634,0.9836
200,2,0.75,10,5,100,5,0 days 00:01:54.216075000,0.15311952056884764,0.95485
200,2,0.75,10,5,100,10,0 days 00:05:51.474052000,0.0716738595366478,0.97815
200,2,0.75,10,5,100,15,0 days 00:11:43.836212000,0.0472966012775898,0.985425
200,2,0.75,16,5,50,5,0 days 00:01:55.668559000,0.16891268491744996,0.9527
200,2,0.75,16,5,50,10,0 days 00:05:51.902744000,0.06914844188690185,0.979725
200,2,0.75,16,5,50,15,0 days 00:11:45.560096000,0.04816007481813431,0.98575
200,2,0.75,16,5,100,5,0 days 00:01:55.161997000,0.15477754018306733,0.95445
200,2,0.75,16,5,100,10,0 days 00:05:54.531797000,0.06767371994853019,0.9798
